,Brand,ModelName,ModelID,Color,Transmission,mileage,Price,bodyTypeName,FuelType,SellerState,MSRP,DaysOnMarket,OwnerCount,AccidentCount,Alloy Wheels,Backup Camera,Bluetooth,Heated Seats,Navigation System,Leather Seats,Blind Spot Monitoring,Sunroof/Moonroof,Remote Start,CarPlay,Android Auto,Parking Sensors,Adaptive Cruise Control,YearOld,id
84,RAM,1500,d2110,GRAY,Automatic,10658.0,45500.0,Pickup Truck,Gasoline,MO,,133,2.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,84
85,Jeep,Cherokee,d488,BLUE,Automatic,21425.0,23000.0,SUV / Crossover,Gasoline,MO,26459.0,42,1.0,0.0,1,1,1,1,0,0,1,0,1,0,0,1,0,2,85
86,Dodge,Journey,d1135,SILVER,Automatic,12300.0,21000.0,SUV / Crossover,Gasoline,MO,23219.0,42,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,86
87,Chevrolet,Silverado 1500,d630,BLACK,Automatic,146403.0,12600.0,Pickup Truck,,IL,13800.0,2,3.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,87
88,Toyota,Sienna,d308,UNKNOWN,Automatic,77976.0,26750.0,Minivan,Gasoline,MO,,141,1.0,0.0,1,1,1,1,1,1,1,1,1,1,0,1,1,4,88
89,GMC,Acadia,d925,SILVER,Automatic,45038.0,28187.0,SUV / Crossover,Gasoline,MO,,67,1.0,0.0,1,1,1,0,0,0,1,0,1,0,0,0,0,2,89
90,Dodge,Charger,d733,GRAY,Automatic,90900.0,28999.0,Sedan,Gasoline,MO,,5,3.0,1.0,1,1,1,0,1,0,0,0,1,0,0,0,0,6,90
91,Volkswagen,Passat,d202,GRAY,Automatic,85704.0,9995.0,Sedan,Gasoline,MO,,7,2.0,0.0,1,1,1,0,1,1,0,1,0,0,0,0,0,10,91
92,Ford,F-150,d337,GRAY,Automatic,45420.0,44494.0,Pickup Truck,,MO,,209,1.0,0.0,1,1,1,1,1,0,0,0,1,1,1,0,0,3,92
93,Nissan,Armada,d238,UNKNOWN,Automatic,100670.0,19812.0,SUV / Crossover,Gasoline,MO,,79,3.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,7,93
94,Volvo,XC40,d2624,BLACK,Automatic,40103.0,35410.0,SUV / Crossover,Gasoline,MO,,384,1.0,0.0,1,1,1,1,0,0,1,1,0,1,1,1,0,2,94
95,GMC,Acadia,d925,RED,Automatic,41310.0,31746.0,SUV / Crossover,Gasoline,MO,,34,2.0,0.0,1,1,1,1,1,0,1,1,1,0,0,1,0,5,95
96,Jeep,Renegade,d2268,UNKNOWN,Automatic,65052.0,22790.0,SUV / Crossover,Gasoline,IN,23990.0,35,1.0,0.0,1,1,1,1,0,0,0,0,1,0,0,0,0,6,96
97,Nissan,Sentra,d249,BLACK,N/A,22064.0,16900.0,Sedan,Gasoline,IN,21900.0,118,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,97
98,Ford,Escape,d330,GRAY,Automatic,36473.0,22500.0,SUV / Crossover,Flex Fuel Vehicle,IN,27900.0,41,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,98
99,Buick,Enclave,d1029,WHITE,Automatic,47961.0,35486.0,SUV / Crossover,Gasoline,IN,,16,1.0,0.0,1,1,1,1,0,0,1,0,1,1,1,0,0,4,99
100,Jeep,Cherokee,d488,BLACK,Automatic,21528.0,30829.0,SUV / Crossover,Gasoline,IN,33900.0,56,1.0,0.0,1,1,1,1,0,1,1,0,1,1,1,1,0,2,100
101,Volkswagen,Jetta,d200,BLACK,Automatic,63092.0,17900.0,Sedan,Gasoline,IN,,85,2.0,0.0,1,1,1,1,1,0,0,1,0,0,0,0,1,6,101
102,Kia,Sedona,d160,SILVER,Automatic,51505.0,29727.0,Minivan,Gasoline,IN,,155,1.0,0.0,1,1,1,1,0,1,1,0,0,0,0,0,0,2,102
103,GMC,Terrain,d2042,BLACK,Automatic,71067.0,30583.0,SUV / Crossover,Gasoline,IN,,72,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,4,103
104,RAM,1500,d2110,BLACK,Automatic,73745.0,40590.0,Pickup Truck,Gasoline,IN,41990.0,37,1.0,0.0,0,1,1,1,0,1,0,1,1,1,1,1,0,4,104
105,Nissan,Altima,d237,GRAY,N/A,30329.0,31501.0,Sedan,Gasoline,IN,34900.0,22,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,105
106,Ford,Explorer,d334,WHITE,Automatic,32722.0,37990.0,SUV / Crossover,Gasoline,IN,,34,1.0,0.0,1,1,1,0,0,0,1,0,1,0,0,0,0,2,106
107,RAM,1500,d2110,SILVER,Automatic,85349.0,30990.0,Pickup Truck,Gasoline,IN,,7,4.0,1.0,0,1,1,0,0,0,0,0,1,0,0,1,0,5,107
108,Jeep,Compass,d905,RED,Automatic,12041.0,29990.0,SUV / Crossover,Gasoline,IN,31990.0,66,1.0,0.0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,108
109,Toyota,4Runner,d290,WHITE,Automatic,36202.0,48501.0,SUV / Crossover,Gasoline,IN,52900.0,98,1.0,0.0,1,1,0,1,1,0,0,0,0,0,0,0,0,4,109
110,GMC,Sierra 1500,d116,WHITE,Automatic,60553.0,42876.0,Pickup Truck,Gasoline,IN,,48,1.0,0.0,1,1,1,1,1,1,0,0,1,0,0,1,0,4,110
